"speciesEN","tideCategory","n_individuals","mean_entropy","sd_entropy","cv_entropy","min_entropy","max_entropy","mean_effective_sites","mean_evenness"
"Bar-tailed Godwit","All",9,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,Inf
"Bar-tailed Godwit","Diurnal_High",6,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,Inf
"Bar-tailed Godwit","Diurnal_Low",8,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Bar-tailed Godwit","Nocturnal_High",7,1.74849844024191,0,0,1.74849844024191,1.74849844024191,5.74596828035649,Inf
"Bar-tailed Godwit","Nocturnal_Low",6,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,Inf
"Curlew Sandpiper","All",5,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,0.879861723515043
"Curlew Sandpiper","Diurnal_High",5,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,0.810820211214299
"Curlew Sandpiper","Diurnal_Low",5,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,0.94781146559234
"Curlew Sandpiper","Nocturnal_High",5,1.74849844024191,0,0,1.74849844024191,1.74849844024191,5.74596828035649,1.12137753403014
"Curlew Sandpiper","Nocturnal_Low",5,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,0.958891062762972
"Eurasian Whimbrel","All",2,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,1.77430198731018
"Eurasian Whimbrel","Diurnal_High",2,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,1.86063318723128
"Eurasian Whimbrel","Diurnal_Low",2,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Eurasian Whimbrel","Nocturnal_High",1,1.74849844024191,NA,NA,1.74849844024191,1.74849844024191,5.74596828035649,1.59155186800403
"Eurasian Whimbrel","Nocturnal_Low",2,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,Inf
"Far Eastern Curlew","All",1,1.50816111763587,NA,NA,1.50816111763587,1.50816111763587,4.51841431774396,2.17581656527482
"Far Eastern Curlew","Diurnal_High",1,1.28969264778563,NA,NA,1.28969264778563,1.28969264778563,3.63167018232926,1.86063318723128
"Far Eastern Curlew","Diurnal_Low",1,1.39109403118361,NA,NA,1.39109403118361,1.39109403118361,4.01924482772163,2.00692446019882
"Far Eastern Curlew","Nocturnal_High",1,1.74849844024191,NA,NA,1.74849844024191,1.74849844024191,5.74596828035649,2.52255002873909
"Far Eastern Curlew","Nocturnal_Low",1,1.57533547097824,NA,NA,1.57533547097824,1.57533547097824,4.83236246358462,2.27272867171678
"Masked Lapwing","All",1,1.50816111763587,NA,NA,1.50816111763587,1.50816111763587,4.51841431774396,Inf
"Masked Lapwing","Diurnal_High",1,1.28969264778563,NA,NA,1.28969264778563,1.28969264778563,3.63167018232926,Inf
"Masked Lapwing","Diurnal_Low",1,1.39109403118361,NA,NA,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Masked Lapwing","Nocturnal_Low",1,1.57533547097824,NA,NA,1.57533547097824,1.57533547097824,4.83236246358462,Inf
"Pacific Golden-Plover","All",14,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,Inf
"Pacific Golden-Plover","Diurnal_High",14,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,Inf
"Pacific Golden-Plover","Diurnal_Low",14,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Pacific Golden-Plover","Nocturnal_High",14,1.74849844024191,0,0,1.74849844024191,1.74849844024191,5.74596828035649,Inf
"Pacific Golden-Plover","Nocturnal_Low",14,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,Inf
"Pied Stilt","All",6,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,Inf
"Pied Stilt","Diurnal_High",6,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,Inf
"Pied Stilt","Diurnal_Low",6,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Pied Stilt","Nocturnal_High",6,1.74849844024191,0,0,1.74849844024191,1.74849844024191,5.74596828035649,Inf
"Pied Stilt","Nocturnal_Low",6,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,Inf
"Red-necked Avocet","All",3,1.50816111763587,0,0,1.50816111763587,1.50816111763587,4.51841431774396,1.01874296731783
"Red-necked Avocet","Diurnal_High",3,1.28969264778563,0,0,1.28969264778563,1.28969264778563,3.63167018232926,1.01152067517933
"Red-necked Avocet","Diurnal_Low",3,1.39109403118361,0,0,1.39109403118361,1.39109403118361,4.01924482772163,Inf
"Red-necked Avocet","Nocturnal_High",3,1.74849844024191,0,0,1.74849844024191,1.74849844024191,5.74596828035649,1.56511878554323
"Red-necked Avocet","Nocturnal_Low",3,1.57533547097824,0,0,1.57533547097824,1.57533547097824,4.83236246358462,1.41011686508539
